Id;Title;Distributor;Genre
245;Tru Loved;Regent Releasing;Romantic-Comedy
246;Jack and Jill vs. the World;Lantern Lane Ente…;Romantic-Comedy
248;The Proposal;Walt Disney;Romantic-Comedy
249;He's Just Not That Into You;Warner Bros.;Romantic-Comedy
250;The Ugly Truth;Sony Pictures;Romantic-Comedy
251;Itâs Complicated;Universal;Romantic-Comedy
252;Ghosts of Girlfriends Past;Warner Bros.;Romantic-Comedy
253;Confessions of a Shopaholic;Walt Disney;Romantic-Comedy
254;All About Steve;20th Century Fox;Romantic-Comedy
255;(500) Days of Summer;Fox Searchlight;Romantic-Comedy
256;Did You Hear About the Morg…;Sony Pictures;Romantic-Comedy
257;New in Town;Lionsgate;Romantic-Comedy
258;I Love You, Beth Cooper;20th Century Fox;Romantic-Comedy
259;My Life in Ruins;Fox Searchlight;Romantic-Comedy
260;Post Grad;20th Century Fox;Romantic-Comedy
261;Whatever Works;Sony Pictures Cla…;Romantic-Comedy
262;Easy Virtue;Sony Pictures Cla…;Romantic-Comedy
263;Love Aaj Kal;Eros Entertainment;Romantic-Comedy
264;Kambakkht Ishq;Eros Entertainment;Romantic-Comedy
265;Management;Samuel Goldwyn Films;Romantic-Comedy
266;Un baiser s'il vous plaÃ®t;Music Box Films;Romantic-Comedy
267;White On Rice;Variance Films;Romantic-Comedy
268;The Answer Man;Magnolia Pictures;Romantic-Comedy
269;I Hate Valentine's Day;IFC Films;Romantic-Comedy
270;The Bride & The Grooms;Sumbadhat Product…;Romantic-Comedy
271;Waiting for Dublin;Cinema Libre;Romantic-Comedy
272;Antarctica;Regent Releasing;Romantic-Comedy
273;Tru Loved;Regent Releasing;Romantic-Comedy
274;I Can't Think Straight;Regent Releasing;Romantic-Comedy
276;Valentine's Day;Warner Bros.;Romantic-Comedy
277;The Bounty Hunter;Sony Pictures;Romantic-Comedy
278;Itâs Complicated;Universal;Romantic-Comedy
279;Life as We Know It;Warner Bros.;Romantic-Comedy
280;The Back-up Plan;CBS Films;Romantic-Comedy
281;When in Rome;Walt Disney;Romantic-Comedy
282;She's Out of My League;Paramount Pictures;Romantic-Comedy
283;The Switch;Miramax;Romantic-Comedy
284;Leap Year;Universal;Romantic-Comedy
285;How Do You Know?;Sony Pictures;Romantic-Comedy
286;Just Wright;Fox Searchlight;Romantic-Comedy
287;Going the Distance;Warner Bros.;Romantic-Comedy
288;Did You Hear About the Morg…;Sony Pictures;Romantic-Comedy
289;Greenberg;Focus Features;Romantic-Comedy
290;Flipped;Warner Bros.;Romantic-Comedy
291;Housefull;Eros Entertainment;Romantic-Comedy
292;I Hate Luv Storys;UTV Communications;Romantic-Comedy
293;Aisha;Viva Entertainment;Romantic-Comedy
294;Fei Cheng Wu Rao 2;China Lion Film D…;Romantic-Comedy
295;De Mai Tinh;Variance Films;Romantic-Comedy
296;The Good Guy;Roadside Attractions;Romantic-Comedy
297;Feed the Fish;Strand;Romantic-Comedy
298;The People I've Slept With;People Pictures;Romantic-Comedy
299;16 to Life;Waterdog Films;Romantic-Comedy
300;The Freebie;Phase 4 Films;Romantic-Comedy
301;BearCity;TLA Releasing;Romantic-Comedy
302;Speed-Dating;Rockstone Releasing;Romantic-Comedy
303;White On Rice;Variance Films;Romantic-Comedy
304;Un baiser s'il vous plaÃ®t;Music Box Films;Romantic-Comedy
305;Tru Loved;Regent Releasing;Romantic-Comedy
