Id;Title;Distributor;Genre
370;Harrison's Flowers;Universal;Drama
371;The Dangerous Lives of Alta…;ThinkFilm;Drama
372;Seraphin un Homme et Son;Odeon Films;Drama
373;Rabbit-Proof Fence;Miramax;Drama
374;Late Marriage;Magnolia Pictures;Drama
375;Ararat;Miramax;Drama
376;Apollo 13;Universal;Drama
377;Joshua;Artisan;Drama
378;Read My Lips;Magnolia Pictures;Drama
379;Nueve Reinas;Sony Pictures Cla…;Drama
380;China: The Panda Adventure;IMAX Films;Drama
381;Kandahar;Avatar;Drama
382;24 Hour Party People;MGM;Drama
383;The Hours;Paramount Pictures;Drama
384;The Last Kiss;ThinkFilm;Drama
385;Evelyn;MGM;Drama
386;The Son's Room;Miramax;Drama
387;The Pianist;Focus Features;Drama
388;Time Changer;Five & Two Pictures;Drama
389;Kaante;Media Partners;Drama
390;Storytelling;Fine Line;Drama
391;Russkiy kovcheg;WellSpring;Drama
392;No Man's Land;MGM;Drama
393;Bloody Sunday;Paramount Vantage;Drama
394;Personal Velocity;MGM;Drama
395;Savage Messiah;Christal Films;Drama
396;The Emperor's New Clothes;Paramount Vantage;Drama
397;25th Hour;Walt Disney;Drama
398;Forgive Me Father;Myriad Entertainm…;Drama
399;Charlotte Gray;Warner Bros.;Drama
400;Encounter in the Third Dime…;nWave Pictures;Drama
401;The Man Who Wasn't There;USA Films;Drama
402;Time Out;;Drama
403;The Believer;Sony Pictures;Drama
404;The Fluffer;TLA Releasing;Drama
405;The Quiet American;Miramax;Drama
406;Jibeuro;;Drama
407;Waking Life;Fox Searchlight;Drama
408;Skins;First Look;Drama
409;The Business of Strangers;IFC Films;Drama
410;Circuit;Jour de Fete;Drama
411;In Praise of Love;;Drama
412;Nicholas Nickleby;United Artists;Drama
413;Murderous Maids;;Drama
414;Tully;;Drama
415;Betty Fisher et autres hist…;WellSpring;Drama
416;The Business of Fancy Dancing;Outrider Pictures;Drama
417;Confessions of a Dangerous …;Miramax;Drama
418;Fat Girl;Cowboy Pictures;Drama
419;Swimming;;Drama
420;Shiqi sui de dan che;Sony Pictures Cla…;Drama
421;All or Nothing;MGM;Drama
422;Dahmer;;Drama
423;The Cherry Orchard;;Drama
424;Stolen Summer;Miramax;Drama
425;Big Bad Love;IFC Films;Drama
426;Intimacy;Empire Pictures;Drama
427;Shiri;;Drama
428;Hometown Legend;;Drama
429;Code Unknown;;Drama
430;Donnie Darko;Newmarket Films;Drama
431;Baran;Miramax;Drama
432;Borstal Boy;Strand;Drama
433;Himalaya - l'enfance d'un chef;Kino International;Drama
434;Dekalog;New Yorker;Drama
435;Intacto;;Drama
436;Max;Lionsgate;Drama
437;Taliesin Jones;;Drama
438;Hardball;Paramount Pictures;Drama
439;Umberto D;Janus Films;Drama
440;Saathiya;;Drama
441;Langrishe, Go Down;;Drama
442;Wings of Courage;Sony Pictures Cla…;Drama
443;Chelsea Walls;Lionsgate;Drama
444;Harvard Man;;Drama
445;La baie des anges;Pathe Contemporar…;Drama
446;Ciao America;;Drama
447;Children on Their Birthdays;Artisan;Drama
448;O Fantasma;;Drama
449;Ivan's XTC;;Drama
450;Plata quemada;Strand;Drama
451;Astoria;Distributor Unknown;Drama
452;An American Rhapsody;Paramount Vantage;Drama
453;Focus;Paramount Vantage;Drama
454;Innocence;IDP Distribution;Drama
455;Love Liza;;Drama
456;Les enfants du siÃ¨cle;Empire Pictures;Drama
457;Quai des Orfevres;;Drama
458;The Calling;Testimony Pictures;Drama
459;Agni Varsha;Cinebella Enterta…;Drama
460;Abril Despedaçado;Miramax;Drama
461;Gabriela;Power Point Films;Drama
462;The Isle;;Drama
463;Scarlet Diva;;Drama
464;Aberdeen;First Run Features;Drama
465;Sonny;;Drama
466;Dayereh;WinStar Cinema;Drama
467;The Farewell;;Drama
468;Bobby G. Can't Swim;;Drama
469;Riri Shushu no subete;Cowboy Pictures;Drama
470;Ikiru;;Drama
471;Our Lady of the Assassins;Paramount Vantage;Drama
472;Smokers Only;;Drama
473;Buddha Heads;Pathfinder;Drama
474;Under the Sand;WellSpring;Drama
475;My First Mister;Paramount Vantage;Drama
476;The Affair of the Necklace;Warner Bros.;Drama
477;L.I.E.;Lot 47 Films;Drama
478;Sia, The Dream of the Python;ArtMattan Films;Drama
479;Cleopatra's Second Husband;Indican Pictures;Drama
480;TakhtÃ© siah;Leisure Time Feat…;Drama
481;Caravaggio;Cinevista;Drama
482;Take Care of My Cat;;Drama
483;Tattoo Bar;ArtMattan Films;Drama
484;Ash Wednesday;Focus Features;Drama
